code,stop_name,street_name,lat,lng,route
SL203,SL203 PERUMAHAN SRI GOMBAK FASA 9,JLN PERMAI,3.249251877,101.6992055,171;202;T201
SL204,SL204 TAMAN SERI GOMBAK FASA 10,JLN PERMAI,3.249353,101.697156,171;202
SL194,SL194 PERUMAHAN SRI GOMBAK FASA 9,JLN PERMAI,3.249295,101.699456,171;202;T201
SL195,SL195 TAMAN TASIK SRI GOMBAK,JLN PERMAI,3.248852,101.701464,171;202;T201
SL196,SL196 PERUMAHAN TAMAN SRI GOMBAK (TIMUR),JLN PERMAI,3.250062,101.703093,171;202;T201
SL197,SL197 TASIK SRI GOMBAK FASA 8,JLN PERMAI,3.248663,101.705594,171;202;T201
SL504,SL504 MASJID SRI GOMBAK,JLN MUHIBBAH,3.247016,101.702752,171;202;T201
SL198,SL198 TAMAN SRI GOMBAK,JLN MUHIBBAH,3.244994,101.702122,171;202;T201
SL246,SL246 KOMERSIAL SRI GOMBAK,JLN LINTANG,3.243098,101.703912,171;202;T201
SL247,SL247 TAMAN SRI GOMBAK FASA 3,JLN LINTANG,3.243095,101.706028,171;202
SL237,SL237 SMK HILLCREST,JLN LINTANG,3.243059,101.707329,171;202;T201
SL238,SL238 KOMERSIAL SERI GOMBAK FASA 5,JLN MAKMUR,3.2421279,101.7097443,171;202;T201
SL239,SL239 BALAIRAYA SERI GOMBAK,JLN LINTANG,3.240744,101.708129,171;T201
SL248,SL248 PETRONAS SRI GOMBAK,JLN MAKMUR,3.240665,101.703324,171;202;T201
SL249,SL249 URBAN 360,JLN MAKMUR,3.240625,101.701315,171;202;T201
SL250,SL250 GIANT BT CAVES (OPP),JLN TAMAN SAMUDERA,3.235202802,101.6955325,171
SL251,SL251 METRO TABERNACLE (OPP),JLN SAMUDERA UTAMA,3.23300615,101.6945991,171
SL252,SL252 HENTIAN SAMUDERA BARAT,JLN SAMUDERA UTAMA,3.233073662,101.6912316,171
SL253,SL253 WISMA SBC (OPP),JLN SAMUDERA UTAMA,3.233088611,101.6894339,171
SL254,SL254 PERINDUSTRIAN BT CAVES,JLN SBC 5,3.233602513,101.6871332,171
SL255,SL255 BT CAVES INDUSTRIAL PARK,JLN SBC 5,3.23360087,101.6847056,171
